Load	Time
-11.069336	0
17.295837	0.024
20.063171	0.047
8.302002	0.071
10.377502	0.094
4.842834	0.117
8.302002	0.14
22.830505	0.163
9.685669	0.186
16.604004	0.208
23.522339	0.232
8.302002	0.255
12.453003	0.279
14.528503	0.302
9.685669	0.325
26.981506	0.348
17.295837	0.371
12.453003	0.394
15.91217	0.416
19.371338	0.44
15.220337	0.463
25.597839	0.487
37.359009	0.51
13.144836	0.534
19.371338	0.557
22.138672	0.58
23.522339	0.603
22.830505	0.625
18.679504	0.649
17.987671	0.672
32.516174	0.697
20.755005	0.72
22.830505	0.743
25.597839	0.766
30.440674	0.789
20.063171	0.813
25.597839	0.836
11.761169	0.86
8.993835	0.883
33.208008	0.907
38.742676	0.93
26.289673	0.953
24.214172	0.976
30.440674	0.998
29.057007	1.022
31.824341	1.045
26.981506	1.069
20.063171	1.092
33.208008	1.116
25.597839	1.139
33.208008	1.162
35.283508	1.185
39.434509	1.207
35.283508	1.231
30.440674	1.254
34.591675	1.278
37.359009	1.301
31.824341	1.325
38.050842	1.348
35.975342	1.371
37.359009	1.394
39.434509	1.416
39.434509	1.44
40.126343	1.463
39.434509	1.487
40.126343	1.51
42.893677	1.534
43.58551	1.557
38.050842	1.58
40.818176	1.603
48.428345	1.625
46.352844	1.649
53.271179	1.672
46.352844	1.696
49.812012	1.719
48.428345	1.742
45.661011	1.765
47.044678	1.788
55.34668	1.811
39.434509	1.833
48.428345	1.857
57.42218	1.88
54.654846	1.904
53.271179	1.927
58.805847	1.95
50.503845	1.973
53.271179	1.996
56.730347	2.019
68.491516	2.041
58.805847	2.065
62.956848	2.088
63.648682	2.112
58.805847	2.135
64.340515	2.159
63.648682	2.182
57.42218	2.205
68.491516	2.228
67.799683	2.25
67.107849	2.274
70.567017	2.297
76.793518	2.321
76.793518	2.344
85.787354	2.367
70.567017	2.39
58.805847	2.413
81.636353	2.436
81.636353	2.458
78.177185	2.482
73.334351	2.505
83.02002	2.529
76.793518	2.552
78.869019	2.575
87.862854	2.598
69.875183	2.621
87.862854	2.644
76.793518	2.666
85.09552	2.691
84.403687	2.715
80.944519	2.739
89.938354	2.762
95.473022	2.785
86.479187	2.808
79.560852	2.831
95.473022	2.855
91.322021	2.878
95.473022	2.902
94.781189	2.925
102.391357	2.949
99.624023	2.972
99.624023	2.995
105.850525	3.018
101.699524	3.04
104.466858	3.064
106.542358	3.087
105.158691	3.111
100.315857	3.134
103.083191	3.158
103.775024	3.181
110.001526	3.204
118.995361	3.227
111.385193	3.249
121.070862	3.273
116.919861	3.296
113.460693	3.32
121.762695	3.343
119.687195	3.367
123.146362	3.39
120.379028	3.413
126.60553	3.436
129.372864	3.458
129.372864	3.482
137.674866	3.505
129.372864	3.529
130.064697	3.552
132.140198	3.575
139.750366	3.598
130.064697	3.621
134.907532	3.644
143.209534	3.666
141.134033	3.69
136.983032	3.713
145.976868	3.737
135.599365	3.76
152.895203	3.784
149.436035	3.807
140.4422	3.83
146.668701	3.853
145.976868	3.875
139.058533	3.899
146.668701	3.922
143.209534	3.946
153.587036	3.969
154.970703	3.992
155.662537	4.015
156.35437	4.038
159.121704	4.061
160.505371	4.083
160.505371	4.107
176.417542	4.13
163.964539	4.154
172.958374	4.177
166.731873	4.2
176.417542	4.223
173.650208	4.246
173.650208	4.269
185.411377	4.291
165.348206	4.315
179.184875	4.338
180.568542	4.362
187.486877	4.385
198.556213	4.409
194.405212	4.432
187.486877	4.455
185.411377	4.478
197.86438	4.5
201.323547	4.524
195.097046	4.547
200.631714	4.571
198.556213	4.594
201.323547	4.617
206.166382	4.64
198.556213	4.663
207.550049	4.686
211.70105	4.708
211.70105	4.732
211.70105	4.755
217.235718	4.779
213.77655	4.802
218.619385	4.825
207.550049	4.848
226.921387	4.871
224.154053	4.894
220.694885	4.916
220.694885	4.94
231.764221	4.963
229.688721	4.987
232.456055	5.01
233.147888	5.034
235.223389	5.057
244.909058	5.08
238.682556	5.103
249.751892	5.125
242.141724	5.149
244.909058	5.172
251.135559	5.196
237.298889	5.219
251.827393	5.242
253.21106	5.265
255.28656	5.288
260.129395	5.311
273.966064	5.333
267.047729	5.357
265.664062	5.38
250.443726	5.404
271.19873	5.427
260.821228	5.45
280.884399	5.473
271.19873	5.496
280.192566	5.519
280.192566	5.541
276.041565	5.565
289.878235	5.588
289.186401	5.612
297.488403	5.635
302.331238	5.659
299.563904	5.682
298.180237	5.705
298.180237	5.728
304.406738	5.75
300.947571	5.774
304.406738	5.797
309.941406	5.821
307.865906	5.844
309.249573	5.867
320.318909	5.89
316.859741	5.913
323.778076	5.936
323.086243	5.958
327.929077	5.982
319.627075	6.005
332.771912	6.029
325.853577	6.052
330.004578	6.075
338.998413	6.098
336.922913	6.121
337.614746	6.144
334.847412	6.166
338.998413	6.19
343.149414	6.213
344.533081	6.237
345.224915	6.26
349.375916	6.284
354.21875	6.307
352.14325	6.33
350.759583	6.353
351.451416	6.375
360.445251	6.399
370.13092	6.422
363.904419	6.446
363.904419	6.469
363.904419	6.492
367.363586	6.515
364.596252	6.538
368.05542	6.561
379.124756	6.583
378.432922	6.607
373.590088	6.63
377.741089	6.654
370.822754	6.677
374.281921	6.7
395.036926	6.723
382.583923	6.746
383.96759	6.769
377.741089	6.791
374.281921	6.815
387.426758	6.838
388.810425	6.862
388.810425	6.885
396.420593	6.909
395.72876	6.932
401.263428	6.955
404.030762	6.978
386.043091	7
396.420593	7.024
406.106262	7.047
404.722595	7.071
407.489929	7.094
407.489929	7.117
401.263428	7.14
408.181763	7.163
418.559265	7.186
407.489929	7.208
410.949097	7.232
406.106262	7.255
428.244934	7.279
417.175598	7.302
419.942932	7.325
426.861267	7.348
425.4776	7.371
414.408264	7.394
437.930603	7.416
430.320435	7.44
429.628601	7.463
430.320435	7.487
437.930603	7.51
440.006104	7.534
427.553101	7.557
438.622437	7.58
433.779602	7.603
435.163269	7.625
442.081604	7.649
444.157104	7.672
445.540771	7.696
444.157104	7.719
446.232605	7.742
453.15094	7.765
448.999939	7.788
446.232605	7.811
451.767273	7.833
461.452942	7.857
454.534607	7.88
458.685608	7.904
460.069275	7.927
458.685608	7.95
469.754944	7.973
462.144775	7.996
448.999939	8.019
455.22644	8.041
473.905945	8.065
474.597778	8.088
477.365112	8.112
474.597778	8.135
475.981445	8.159
475.981445	8.182
497.428284	8.205
483.591614	8.228
502.962952	8.25
492.585449	8.274
482.89978	8.297
493.969116	8.321
497.428284	8.344
484.975281	8.367
504.346619	8.39
495.352783	8.413
493.969116	8.436
498.811951	8.458
502.962952	8.482
491.893616	8.505
505.038452	8.529
524.40979	8.552
516.799622	8.575
514.724121	8.598
521.642456	8.621
516.799622	8.644
518.875122	8.666
517.491455	8.691
520.258789	8.715
537.554626	8.739
532.019958	8.762
533.403625	8.785
538.24646	8.808
538.938293	8.831
552.08313	8.855
540.32196	8.878
543.781128	8.902
533.403625	8.925
541.013794	8.949
547.932129	8.972
554.15863	8.995
552.08313	9.018
560.385132	9.04
561.076965	9.064
559.693298	9.087
567.9953	9.111
556.234131	9.134
560.385132	9.158
574.221802	9.181
565.9198	9.204
583.907471	9.227
576.989136	9.249
567.303467	9.273
578.372803	9.296
579.75647	9.32
