Load 	Time
-8.302002	0
-26.981506	0.025
-33.208008	0.05
-24.214172	0.075
-26.981506	0.1
-11.069336	0.124
-20.063171	0.15
-17.295837	0.175
-28.365173	0.2
-20.755005	0.225
-15.91217	0.25
-14.528503	0.275
-31.132507	0.298
-23.522339	0.323
-26.289673	0.348
-17.987671	0.373
-17.987671	0.397
-22.830505	0.422
-17.295837	0.447
-15.220337	0.472
-15.91217	0.496
-17.987671	0.521
-11.761169	0.544
-19.371338	0.569
-10.377502	0.594
-14.528503	0.619
-14.528503	0.644
-17.295837	0.667
-5.534668	0.692
-6.226501	0.717
-8.993835	0.742
-10.377502	0.767
-15.220337	0.791
-13.83667	0.817
-8.993835	0.842
-0.691833	0.867
4.151001	0.892
-7.610168	0.916
-4.151001	0.942
1.383667	0.967
-6.226501	0.992
-7.610168	1.017
-13.83667	1.041
-4.151001	1.066
1.383667	1.091
-4.842834	1.116
-3.459167	1.141
-6.226501	1.165
-6.226501	1.19
3.459167	1.215
-2.0755	1.24
5.534668	1.265
4.151001	1.289
3.459167	1.315
8.302002	1.34
-4.842834	1.366
4.842834	1.389
7.610168	1.413
9.685669	1.438
10.377502	1.461
4.151001	1.487
6.226501	1.51
15.91217	1.535
12.453003	1.56
11.761169	1.583
13.144836	1.608
19.371338	1.633
8.302002	1.658
22.830505	1.683
20.063171	1.707
17.987671	1.733
28.365173	1.758
2.0755	1.783
22.138672	1.808
17.295837	1.831
27.67334	1.855
31.824341	1.88
23.522339	1.906
26.981506	1.929
28.365173	1.955
32.516174	1.98
40.818176	2.003
38.050842	2.029
31.132507	2.054
33.899841	2.078
28.365173	2.103
37.359009	2.126
33.899841	2.152
39.434509	2.177
42.893677	2.202
43.58551	2.227
40.818176	2.25
40.818176	2.275
46.352844	2.3
53.963013	2.326
53.963013	2.349
46.352844	2.375
56.730347	2.4
53.271179	2.425
53.963013	2.45
51.887512	2.475
56.730347	2.499
60.881348	2.524
63.648682	2.549
62.956848	2.574
60.189514	2.599
63.648682	2.623
57.42218	2.649
66.416016	2.673
69.875183	2.7
73.334351	2.725
80.252686	2.749
68.491516	2.776
69.875183	2.799
69.875183	2.824
80.252686	2.849
83.02002	2.873
84.403687	2.897
79.560852	2.922
84.403687	2.947
86.479187	2.972
77.485352	2.996
83.711853	3.021
90.630188	3.044
88.554687	3.07
89.938354	3.093
90.630188	3.118
85.787354	3.142
78.177185	3.166
103.083191	3.191
94.781189	3.216
94.089355	3.241
101.00769	3.266
90.630188	3.29
94.089355	3.315
100.315857	3.34
110.693359	3.365
92.013855	3.39
105.158691	3.414
113.460693	3.438
106.542358	3.463
121.070862	3.488
118.303528	3.513
134.907532	3.537
115.536194	3.562
117.611694	3.585
125.221863	3.61
120.379028	3.635
127.989197	3.66
124.530029	3.684
125.913696	3.708
131.448364	3.733
131.448364	3.757
137.674866	3.782
120.379028	3.807
139.750366	3.833
136.983032	3.858
141.134033	3.883
141.825867	3.909
148.744202	3.932
140.4422	3.958
157.046204	3.983
154.970703	4.008
154.970703	4.033
161.197205	4.058
167.423706	4.082
154.27887	4.107
149.436035	4.131
151.511536	4.157
171.574707	4.182
159.813538	4.206
164.656372	4.232
167.423706	4.256
157.738037	4.281
179.184875	4.306
175.033875	4.33
181.260376	4.355
177.801208	4.378
178.493042	4.404
182.644043	4.429
184.02771	4.453
180.568542	4.478
186.795044	4.501
191.637878	4.527
195.788879	4.552
181.952209	4.577
187.486877	4.602
195.788879	4.625
195.788879	4.651
188.870544	4.676
195.788879	4.704
202.015381	4.729
199.248047	4.752
209.625549	4.778
211.009216	4.802
210.317383	4.828
216.543884	4.851
217.927551	4.875
212.392883	4.9
215.852051	4.925
222.770386	4.95
220.003052	4.975
224.154053	4.999
224.154053	5.024
222.078552	5.049
237.298889	5.074
226.229553	5.099
232.456055	5.123
238.682556	5.152
229.688721	5.176
231.072388	5.203
234.531555	5.228
233.839722	5.251
232.456055	5.276
221.386719	5.301
235.223389	5.326
228.305054	5.351
249.060059	5.375
247.676392	5.401
246.984558	5.426
251.135559	5.452
248.368225	5.475
258.053894	5.499
261.513062	5.524
267.047729	5.549
260.129395	5.574
266.355896	5.599
269.12323	5.623
273.274231	5.647
278.117065	5.672
278.808899	5.697
283.651733	5.722
280.192566	5.746
285.727234	5.772
283.651733	5.795
290.570068	5.82
291.261902	5.843
296.104736	5.869
297.488403	5.894
298.87207	5.917
298.180237	5.943
302.331238	5.968
305.790405	5.994
302.331238	6.019
303.023071	6.042
306.482239	6.068
324.46991	6.093
311.325073	6.119
318.935242	6.142
317.551575	6.166
312.70874	6.192
328.620911	6.217
330.004578	6.242
342.457581	6.267
323.778076	6.291
336.231079	6.317
332.771912	6.342
342.457581	6.367
332.080078	6.392
342.457581	6.416
342.457581	6.442
356.29425	6.467
345.916748	6.492
354.910583	6.517
350.759583	6.541
356.29425	6.567
359.061584	6.592
356.29425	6.617
363.212585	6.642
369.439087	6.666
363.904419	6.692
370.13092	6.718
373.590088	6.743
374.281921	6.768
372.206421	6.792
368.05542	6.817
386.043091	6.842
382.583923	6.868
386.734924	6.893
382.583923	6.917
384.659424	6.943
394.345093	6.968
390.885925	6.993
396.420593	7.018
391.577759	7.042
397.112427	7.068
391.577759	7.093
399.187927	7.118
401.263428	7.143
401.263428	7.167
406.106262	7.194
404.722595	7.219
417.867432	7.244
415.791931	7.269
413.716431	7.292
422.710266	7.318
424.093933	7.342
426.169434	7.368
421.326599	7.393
426.169434	7.418
427.553101	7.443
426.169434	7.468
431.012268	7.493
440.697937	7.518
431.012268	7.542
434.471436	7.568
436.546936	7.593
442.773437	7.618
444.157104	7.643
443.465271	7.667
440.697937	7.693
454.534607	7.718
451.767273	7.743
451.075439	7.768
460.069275	7.792
455.918274	7.818
452.459106	7.843
460.069275	7.869
465.603943	7.894
465.603943	7.917
467.679443	7.943
469.06311	7.968
475.289612	7.993
484.283447	8.018
471.830444	8.042
478.748779	8.067
478.748779	8.092
483.591614	8.117
488.434448	8.142
487.050781	8.166
488.434448	8.192
469.06311	8.217
490.509949	8.242
489.818115	8.267
498.811951	8.291
494.66095	8.317
496.044617	8.342
498.120117	8.367
502.962952	8.392
497.428284	8.416
512.648621	8.442
516.107788	8.467
511.264954	8.492
505.730286	8.517
517.491455	8.541
515.415955	8.566
524.40979	8.591
519.566956	8.617
521.642456	8.642
520.258789	8.666
528.560791	8.692
518.875122	8.718
526.485291	8.743
532.711792	8.768
532.019958	8.792
530.636292	8.818
539.630127	8.843
539.630127	8.868
539.630127	8.892
541.013794	8.916
545.164795	8.943
550.699463	8.967
543.781128	8.991
541.705627	9.016
550.007629	9.04
543.781128	9.065
546.548462	9.09
552.774963	9.115
549.315796	9.14
552.08313	9.164
546.548462	9.188
555.542297	9.211
557.617798	9.236
552.774963	9.261
557.617798	9.286
562.460632	9.311
559.693298	9.334
581.83197	9.361
565.227966	9.384
566.611633	9.41
571.454468	9.435
572.838135	9.458
574.221802	9.484
571.454468	9.509
578.372803	9.534
581.140137	9.559
585.982971	9.583
585.982971	9.609
588.750305	9.634
592.209473	9.659
588.750305	9.683
592.209473	9.707
589.442139	9.732
596.360474	9.757
610.888977	9.782
597.052307	9.807
601.203308	9.831
612.964478	9.855
614.348145	9.88
608.813477	9.905
610.888977	9.93
615.039978	9.954
619.190979	9.98
619.190979	10.002
620.574646	10.028
628.184814	10.053
627.492981	10.079
627.492981	10.104
624.725647	10.127
630.260315	10.152
635.103149	10.177
639.945984	10.202
639.25415	10.227
646.864319	10.25
641.329651	10.276
639.25415	10.301
651.707153	10.326
649.631653	10.351
654.474487	10.375
649.631653	10.401
655.166321	10.426
655.858154	10.452
662.776489	10.476
660.009155	10.501
666.235657	10.526
663.468323	10.551
669.694824	10.577
670.386658	10.601
671.078491	10.626
690.449829	10.651
674.537659	10.675
675.921326	10.7
681.455994	10.725
685.606995	10.749
682.839661	10.774
689.757996	10.799
696.676331	10.824
698.751831	10.849
680.76416	10.873
690.449829	10.899
684.223328	10.924
694.60083	10.949
709.129333	10.974
702.210999	10.998
694.60083	11.024
697.368164	11.049
691.833496	11.074
692.52533	11.099
710.513	11.124
703.594666	11.149
703.594666	11.174
713.280334	11.199
708.4375	11.224
715.355835	11.249
717.431335	11.274
716.739502	11.299
715.355835	11.324
720.890503	11.349
718.815002	11.373
722.27417	11.399
733.343506	11.424
725.041504	11.45
724.34967	11.475
727.808838	11.499
730.576172	11.525
738.878174	11.55
734.727173	11.576
736.11084	11.599
736.11084	11.624
749.255676	11.649
756.865845	11.673
741.645508	11.699
736.802673	11.724
748.563843	11.748
750.639343	11.772
749.255676	11.797
756.174011	11.823
754.098511	11.847
761.016846	11.872
758.941345	11.897
764.476013	11.921
761.016846	11.946
767.935181	11.971
761.708679	11.996
762.400513	12.021
768.627014	12.044
774.161682	12.069
774.161682	12.094
781.771851	12.119
776.237183	12.144
780.388184	12.168
782.463684	12.194
783.847351	12.219
785.231018	12.244
784.539185	12.268
793.53302	12.293
801.835022	12.318
795.608521	12.343
796.300354	12.368
796.992187	12.393
801.835022	12.418
805.294189	12.443
801.143188	12.468
803.218689	12.493
801.143188	12.518
812.212524	12.542
821.20636	12.568
817.055359	12.593
805.294189	12.618
823.973694	12.643
825.357361	12.667
821.20636	12.693
832.967529	12.719
829.508362	12.744
836.426697	12.769
833.659363	12.792
836.426697	12.818
839.885864	12.843
834.351196	12.868
848.187866	12.893
839.885864	12.918
846.804199	12.943
846.112366	12.968
841.269531	12.993
846.112366	13.018
848.8797	13.042
847.496033	13.068
848.187866	13.093
850.263367	13.118
844.036865	13.143
850.9552	13.168
857.181702	13.193
846.112366	13.218
852.338867	13.243
855.798035	13.268
855.798035	13.293
864.79187	13.318
860.640869	13.343
856.489868	13.368
865.483704	13.393
864.79187	13.418
869.634705	13.443
873.785706	13.468
871.710205	13.493
873.785706	13.518
879.320374	13.542
877.936707	13.568
877.244873	13.593
885.546875	13.618
891.081543	13.643
895.924377	13.668
888.314209	13.694
888.314209	13.719
895.924377	13.744
900.767212	13.769
899.383545	13.792
909.069214	13.818
908.37738	13.843
909.761047	13.868
911.144714	13.893
911.836548	13.918
925.673218	13.944
915.987549	13.968
913.912048	13.993
924.289551	14.018
933.283386	14.042
936.05072	14.068
931.207886	14.093
936.05072	14.118
941.585388	14.143
941.585388	14.168
949.195557	14.193
938.818054	14.218
951.962891	14.243
947.120056	14.267
949.195557	14.293
958.881226	14.318
956.805725	14.343
954.730225	14.368
960.264893	14.393
960.956726	14.418
960.264893	14.443
960.264893	14.467
965.799561	14.492
960.956726	14.517
968.566895	14.542
974.101562	14.567
974.793396	14.592
979.63623	14.617
973.409729	14.642
984.479065	14.667
982.403564	14.692
983.095398	14.717
970.642395	14.742
985.862732	14.767
996.240234	14.792
987.246399	14.817
989.321899	14.842
992.781067	14.867
999.007568	14.892
993.4729	14.917
1000.391235	14.942
996.240234	14.967
1003.850403	14.992
1005.925903	15.017
1001.083069	15.042
1002.466736	15.067
1010.076904	15.092
1014.919739	15.117
1011.460571	15.142
1015.611572	15.167
1000.391235	15.193
1002.466736	15.218
1011.460571	15.243
1012.844238	15.268
1019.07074	15.293
1029.448242	15.318
1022.529907	15.343
1021.838074	15.368
1028.064575	15.393
1019.762573	15.418
1017.687073	15.443
1030.831909	15.468
1034.291077	15.493
1029.448242	15.518
1037.058411	15.543
1037.750244	15.568
1037.058411	15.593
1024.605408	15.618
1044.668579	15.643
1046.74408	15.668
1047.435913	15.693
1050.203247	15.718
1050.895081	15.744
1050.203247	15.769
1052.970581	15.793
1055.737915	15.818
1061.272583	15.843
1067.499084	15.868
1048.127747	15.893
1064.73175	15.918
1070.958252	15.943
1072.341919	15.968
1082.719421	15.993
1085.486755	16.018
1075.109253	16.043
1084.103088	16.068
1084.103088	16.093
1086.870422	16.118
1089.637756	16.143
1091.713257	16.167
1086.870422	16.193
1091.021423	16.218
1095.172424	16.243
1102.782593	16.268
1097.247925	16.293
1105.549927	16.318
1120.770264	16.343
1109.700928	16.368
1108.317261	16.393
1119.386597	16.418
1114.543762	16.443
1120.07843	16.468
1118.00293	16.493
1120.770264	16.518
1125.613098	16.543
1126.304932	16.568
1126.996765	16.593
1130.455933	16.618
1129.764099	16.643
1129.764099	16.667
1132.531433	16.694
1125.613098	16.719
1141.525269	16.745
1135.990601	16.769
1134.606934	16.793
1139.449768	16.818
1141.525269	16.843
1151.902771	16.868
1137.374268	16.893
1143.600769	16.918
1138.757935	16.943
1136.682434	16.968
1140.833435	16.993
1134.606934	17.018
1142.908936	17.043
1138.066101	17.068
1144.292603	17.093
1151.902771	17.118
1141.525269	17.143
1138.066101	17.168
1141.525269	17.194
1145.67627	17.219
1146.368103	17.245
1136.682434	17.269
1144.984436	17.293
1139.449768	17.318
1150.519104	17.343
1169.198608	17.368
1160.896606	17.393
1158.821106	17.418
1181.651611	17.443
1165.047607	17.468
1170.582275	17.493
1179.576111	17.518
1176.808777	17.543
1176.116943	17.569
1183.035278	17.593
1201.714783	17.618
1183.727112	17.643
1189.26178	17.668
1203.790283	17.693
1192.720947	17.718
1192.720947	17.743
1210.708618	17.768
1198.255615	17.793
1197.563782	17.819
1203.09845	17.843
1197.563782	17.868
1205.17395	17.893
1207.249451	17.918
1210.016785	17.943
1215.551453	17.968
1216.93512	17.994
1218.318787	18.018
1216.93512	18.043
1221.086121	18.068
1223.161621	18.093
1223.853455	18.119
1230.079956	18.142
1232.155457	18.167
1230.079956	18.192
1235.614624	18.217
1234.230957	18.242
1236.998291	18.267
1239.073792	18.292
1238.381958	18.318
1243.224792	18.342
1252.218628	18.368
1249.451294	18.392
1252.218628	18.417
1256.369629	18.442
1254.985962	18.467
1268.130798	18.493
1265.363464	18.517
1257.061462	18.542
1266.747131	18.567
1269.514465	18.592
1266.747131	18.617
1277.124634	18.642
1281.967468	18.667
1293.728638	18.694
1279.200134	18.719
1277.816467	18.744
1284.734802	18.769
1286.810303	18.793
1297.187805	18.819
1297.187805	18.844
1287.502136	18.869
1299.955139	18.894
1296.495972	18.918
1298.571472	18.943
1299.955139	18.968
1303.414307	18.994
1305.489807	19.018
1299.263306	19.043
1302.03064	19.068
1309.640808	19.093
1304.10614	19.118
1307.565308	19.143
1310.332642	19.168
1317.94281	19.193
1317.250977	19.218
1321.401978	19.244
1326.244812	19.268
1322.785645	19.293
1322.785645	19.319
1326.244812	19.343
1334.546814	19.368
1334.546814	19.393
1335.930481	19.418
1333.85498	19.443
1333.85498	19.468
1346.307983	19.494
1336.622314	19.518
1342.156982	19.543
1358.069153	19.568
1348.383484	19.593
1347.69165	19.618
1345.61615	19.643
1352.534485	19.668
1351.842651	19.694
1352.534485	19.718
1354.609985	19.744
1360.144653	19.768
1365.679321	19.793
1360.144653	19.819
1363.603821	19.843
1364.987488	19.869
1363.603821	19.893
1371.213989	19.918
1375.36499	19.943
1375.36499	19.968
1381.591492	19.993
1375.36499	20.018
1385.742493	20.043
1389.20166	20.069
1388.509827	20.093
1387.817993	20.118
1396.811829	20.143
1389.893494	20.168
1396.119995	20.194
1388.509827	20.219
1394.044495	20.247
1396.811829	20.272
1403.730164	20.296
1398.887329	20.322
1402.346497	20.347
1396.811829	20.372
1396.811829	20.397
1405.113831	20.421
1409.264832	20.446
1402.346497	20.471
1412.723999	20.496
1418.258667	20.521
1421.717834	20.545
1436.246338	20.571
1433.479004	20.595
1428.636169	20.62
1425.868835	20.645
1436.246338	20.669
1434.170837	20.694
1425.868835	20.719
1442.472839	20.745
1427.944336	20.769
1438.321838	20.793
1439.013672	20.819
1441.089172	20.843
1449.391174	20.868
1451.466675	20.893
1449.391174	20.918
1456.309509	20.944
1454.234009	20.968
1458.38501	20.994
1452.850342	21.018
1457.693176	21.043
1469.454346	21.069
1458.38501	21.093
1468.070679	21.118
1463.227844	21.143
1461.152344	21.168
1472.22168	21.194
1459.076843	21.218
1465.995178	21.243
1467.378845	21.268
1468.070679	21.293
1472.22168	21.319
1479.140015	21.343
1479.140015	21.368
1473.605347	21.393
1474.29718	21.418
1471.529846	21.444
1470.146179	21.468
1492.284851	21.494
1489.517517	21.518
1498.511353	21.543
1488.825684	21.568
1506.813354	21.593
1508.197021	21.619
1493.668518	21.644
1506.121521	21.668
1502.662354	21.694
1508.197021	21.718
1510.272522	21.744
1513.039856	21.768
1513.039856	21.793
1516.499023	21.819
1518.574524	21.843
1524.801025	21.869
1521.341858	21.893
1522.725525	21.918
1537.254028	21.944
1532.411194	21.968
1540.713196	21.994
1537.945862	22.018
1543.48053	22.043
1543.48053	22.068
1545.55603	22.093
1545.55603	22.119
1549.015198	22.143
1553.858032	22.168
1558.009033	22.194
1559.3927	22.219
1546.939697	22.245
1571.15387	22.269
1561.468201	22.293
1573.22937	22.319
1565.619202	22.343
1576.688538	22.368
1570.462036	22.393
1571.845703	22.418
1587.757874	22.444
1584.298706	22.468
1587.757874	22.493
1582.915039	22.518
1587.757874	22.543
1580.839539	22.568
1589.833374	22.593
1583.606873	22.618
1596.751709	22.643
1589.833374	22.668
1609.896545	22.696
1598.135376	22.721
1599.519043	22.746
1606.437378	22.771
1611.280212	22.795
1606.437378	22.821
1608.512878	22.845
1605.053711	22.871
1611.280212	22.895
1611.280212	22.919
1605.053711	22.945
1618.198547	22.969
1618.198547	22.995
1610.588379	23.019
1620.965881	23.043
1623.733215	23.068
1616.81488	23.093
1632.035217	23.118
1627.884216	23.143
