Load	Ext	Time
-32.348633	-1.449650	0.000000
-18.310547	-1.450197	0.198000
-22.583008	-1.449650	0.401000
-10.986328	-1.451019	0.602000
-17.700195	-1.449741	0.796000
-17.700195	-1.450015	1.002000
-18.920898	-1.449467	1.199000
-16.479492	-1.450654	1.404000
-10.986328	-1.450106	1.602000
-25.634766	-1.450745	1.800000
-15.869141	-1.450380	1.997000
-18.310547	-1.449832	2.199000
-17.700195	-1.449741	2.404000
-18.920898	-1.449011	2.602000
-20.751953	-1.450380	2.802000
-31.127930	-1.449467	2.998000
-23.193359	-1.449285	3.199000
-20.751953	-1.448829	3.406000
-20.141602	-1.448829	3.600000
-20.751953	-1.447460	3.800000
-19.531250	-1.447551	4.002000
-17.700195	-1.446821	4.204000
-10.986328	-1.447369	4.404000
-28.076172	-1.447369	4.600000
-21.362305	-1.447278	4.803000
-22.583008	-1.447643	5.003000
-12.207031	-1.446730	5.205000
-20.141602	-1.447278	5.402000
-12.817383	-1.447278	5.600000
-32.348633	-1.446456	5.802000
-20.751953	-1.445818	6.002000
-18.310547	-1.445818	6.198000
-17.700195	-1.446456	6.402000
-18.920898	-1.446000	6.597000
-17.700195	-1.444175	6.802000
-21.362305	-1.444266	7.004000
-17.089844	-1.444723	7.201000
-10.375977	-1.444814	7.400000
-21.972656	-1.444723	7.601000
-18.310547	-1.443993	7.801000
-17.700195	-1.443263	8.003000
-21.972656	-1.444266	8.202000
-17.700195	-1.443171	8.400000
-21.362305	-1.444540	8.599000
-17.700195	-1.442898	8.800000
-22.583008	-1.443901	9.001000
-15.869141	-1.442898	9.202000
-20.141602	-1.442533	9.399000
-20.141602	-1.442259	9.599000
-26.245117	-1.441985	9.799000
-15.258789	-1.441985	9.998000
-18.920898	-1.441438	10.202000
-16.479492	-1.441255	10.400000
-20.141602	-1.441711	10.601000
-21.972656	-1.440981	10.803000
-18.310547	-1.440343	11.001000
-17.089844	-1.440434	11.199000
-20.141602	-1.440343	11.405000
-17.089844	-1.440434	11.600000
-18.310547	-1.439157	11.799000
-18.920898	-1.439795	11.999000
-19.531250	-1.439521	12.202000
-15.258789	-1.439157	12.403000
-17.700195	-1.439521	12.599000
-14.648437	-1.439157	12.801000
