Load	Time
-29.057007	0.000000
-20.755005	0.023000
-33.208008	0.047000
-24.906006	0.070000
-30.440674	0.094000
-27.673340	0.117000
-29.748840	0.141000
-33.208008	0.164000
-32.516174	0.187000
-31.132507	0.210000
-30.440674	0.232000
-29.057007	0.256000
-24.214172	0.279000
-25.597839	0.303000
-28.365173	0.326000
-25.597839	0.350000
-28.365173	0.373000
-29.057007	0.396000
-29.748840	0.419000
-47.044678	0.441000
-22.138672	0.465000
-24.906006	0.488000
-27.673340	0.512000
-29.748840	0.535000
-24.214172	0.559000
-30.440674	0.582000
-35.283508	0.605000
-36.667175	0.628000
-24.214172	0.650000
-24.906006	0.674000
-29.057007	0.697000
-35.283508	0.721000
-27.673340	0.744000
-27.673340	0.768000
-31.132507	0.791000
-24.906006	0.814000
-31.824341	0.837000
-29.057007	0.859000
-30.440674	0.883000
-39.434509	0.906000
-32.516174	0.930000
-24.906006	0.953000
-31.132507	0.976000
-33.208008	0.999000
-33.899841	1.022000
-33.899841	1.045000
-27.673340	1.067000
-28.365173	1.091000
-22.138672	1.114000
-28.365173	1.137000
-27.673340	1.160000
-28.365173	1.184000
-32.516174	1.207000
-36.667175	1.230000
-35.283508	1.253000
-42.893677	1.275000
-25.597839	1.299000
-28.365173	1.322000
-33.899841	1.346000
-29.748840	1.369000
-27.673340	1.393000
-34.591675	1.416000
-28.365173	1.439000
-31.824341	1.462000
-35.283508	1.484000
-30.440674	1.508000
-29.057007	1.531000
-18.679504	1.555000
-26.289673	1.578000
-29.748840	1.601000
-39.434509	1.624000
-28.365173	1.647000
-35.975342	1.670000
-33.208008	1.692000
-31.824341	1.716000
-31.824341	1.739000
-29.057007	1.763000
-23.522339	1.786000
-26.289673	1.809000
-32.516174	1.832000
-23.522339	1.855000
-30.440674	1.878000
-29.057007	1.900000
-38.050842	1.924000
-25.597839	1.947000
-26.981506	1.971000
-25.597839	1.994000
-31.824341	2.018000
-36.667175	2.041000
-26.981506	2.064000
-25.597839	2.087000
-21.446838	2.109000
-32.516174	2.133000
-32.516174	2.156000
-29.748840	2.180000
-32.516174	2.203000
-31.132507	2.226000
-23.522339	2.249000
-30.440674	2.272000
-26.981506	2.295000
-31.132507	2.317000
-37.359009	2.341000
-24.214172	2.364000
-31.824341	2.388000
-21.446838	2.411000
-31.132507	2.434000
-15.220337	2.457000
-31.824341	2.480000
-32.516174	2.503000
-31.132507	2.525000
-27.673340	2.549000
-27.673340	2.572000
-23.522339	2.596000
-34.591675	2.619000
-23.522339	2.643000
-28.365173	2.666000
-26.981506	2.689000
-18.679504	2.712000
-33.208008	2.734000
-25.597839	2.758000
-42.201843	2.781000
-35.975342	2.805000
-25.597839	2.828000
-23.522339	2.851000
-31.824341	2.874000
-29.748840	2.897000
-26.981506	2.920000
-23.522339	2.942000
-33.899841	2.966000
-31.132507	2.989000
-33.899841	3.013000
-26.981506	3.036000
-26.289673	3.059000
-29.748840	3.082000
-26.289673	3.105000
-28.365173	3.128000
-26.289673	3.150000
-42.201843	3.174000
-26.981506	3.197000
-32.516174	3.221000
-23.522339	3.244000
-31.824341	3.268000
-29.057007	3.291000
-29.057007	3.314000
-35.975342	3.337000
-27.673340	3.359000
-33.899841	3.383000
-26.981506	3.406000
-33.208008	3.430000
-29.057007	3.453000
-30.440674	3.476000
-28.365173	3.499000
-25.597839	3.522000
-31.132507	3.545000
-26.981506	3.567000
-25.597839	3.591000
-28.365173	3.614000
-26.289673	3.638000
-26.289673	3.661000
-26.289673	3.684000
-32.516174	3.707000
-44.969177	3.730000
-37.359009	3.753000
-27.673340	3.775000
-31.132507	3.799000
-29.748840	3.822000
-33.899841	3.846000
-30.440674	3.869000
-29.748840	3.893000
-34.591675	3.916000
-24.906006	3.939000
-36.667175	3.962000
-27.673340	3.984000
-26.981506	4.008000
-31.132507	4.031000
-28.365173	4.055000
-27.673340	4.078000
-23.522339	4.101000
-31.824341	4.124000
-26.981506	4.147000
-30.440674	4.170000
-34.591675	4.192000
-30.440674	4.216000
-27.673340	4.239000
-37.359009	4.263000
-34.591675	4.286000
-30.440674	4.309000
-30.440674	4.332000
-34.591675	4.355000
-33.899841	4.378000
-33.899841	4.400000
-25.597839	4.424000
-32.516174	4.447000
-36.667175	4.471000
-30.440674	4.494000
-26.289673	4.518000
-31.132507	4.541000
-31.824341	4.564000
-35.283508	4.587000
-29.057007	4.609000
-26.981506	4.633000
-28.365173	4.656000
-26.289673	4.680000
-33.208008	4.703000
-31.132507	4.726000
-33.208008	4.749000
-38.050842	4.772000
-26.289673	4.795000
-30.440674	4.817000
-25.597839	4.841000
-35.283508	4.864000
-32.516174	4.888000
-28.365173	4.911000
-26.981506	4.934000
-30.440674	4.957000
-32.516174	4.980000
-28.365173	5.003000
-29.748840	5.025000
-29.748840	5.049000
-42.201843	5.072000
-29.748840	5.096000
-24.906006	5.119000
-28.365173	5.143000
-26.289673	5.166000
-15.912170	5.189000
-30.440674	5.212000
-24.214172	5.234000
-29.748840	5.258000
-30.440674	5.281000
-18.679504	5.305000
-27.673340	5.328000
-36.667175	5.351000
-40.126343	5.374000
-33.208008	5.397000
-26.289673	5.420000
-29.057007	5.442000
-33.899841	5.466000
-24.906006	5.489000
-24.214172	5.513000
-24.214172	5.536000
-33.899841	5.559000
-26.981506	5.582000
-28.365173	5.605000
-29.057007	5.628000
-29.057007	5.650000
-29.748840	5.674000
-32.516174	5.697000
-35.975342	5.721000
-28.365173	5.744000
-26.981506	5.768000
-31.132507	5.791000
-30.440674	5.814000
-26.289673	5.837000
-33.899841	5.859000
-27.673340	5.883000
-30.440674	5.906000
-37.359009	5.930000
-28.365173	5.953000
-32.516174	5.976000
-30.440674	5.999000
-12.453003	6.022000
-20.755005	6.045000
-26.289673	6.067000
-33.208008	6.091000
-29.748840	6.114000
-30.440674	6.138000
-30.440674	6.161000
-16.604004	6.184000
-27.673340	6.207000
-17.987671	6.230000
-24.214172	6.253000
-29.057007	6.275000
-33.208008	6.299000
-37.359009	6.322000
-26.981506	6.346000
-28.365173	6.369000
-39.434509	6.393000
-33.208008	6.416000
-29.057007	6.439000
-21.446838	6.462000
-47.044678	6.484000
-28.365173	6.508000
-25.597839	6.531000
-27.673340	6.555000
-30.440674	6.578000
-28.365173	6.601000
-26.981506	6.624000
-20.063171	6.647000
-33.208008	6.670000
-31.824341	6.692000
-32.516174	6.716000
-26.981506	6.739000
-24.214172	6.763000
-38.742676	6.786000
-29.748840	6.809000
-31.824341	6.832000
-31.132507	6.855000
-37.359009	6.878000
-32.516174	6.900000
-26.981506	6.924000
-27.673340	6.947000
-28.365173	6.971000
-37.359009	6.994000
-33.899841	7.018000
-29.748840	7.041000
-30.440674	7.064000
-30.440674	7.087000
-25.597839	7.109000
-27.673340	7.133000
-19.371338	7.156000
-25.597839	7.180000
-16.604004	7.203000
-31.132507	7.226000
-29.748840	7.249000
-24.214172	7.272000
-25.597839	7.295000
-25.597839	7.317000
-32.516174	7.341000
-24.906006	7.364000
-37.359009	7.388000
-33.208008	7.411000
-29.057007	7.434000
-31.132507	7.457000
-40.126343	7.480000
-35.975342	7.503000
-26.981506	7.525000
-33.899841	7.549000
-19.371338	7.572000
-25.597839	7.596000
-18.679504	7.619000
-34.591675	7.643000
-33.208008	7.666000
-29.748840	7.689000
-28.365173	7.712000
-27.673340	7.734000
-30.440674	7.758000
-36.667175	7.781000
-22.138672	7.805000
-31.132507	7.828000
-27.673340	7.851000
-23.522339	7.874000
-29.057007	7.897000
-22.830505	7.920000
-29.748840	7.942000
-42.201843	7.966000
-31.132507	7.989000
-20.063171	8.013000
-24.906006	8.036000
-24.906006	8.059000
-26.981506	8.082000
-42.893677	8.105000
-33.208008	8.128000
-44.277344	8.150000
-26.981506	8.174000
-35.283508	8.197000
-24.906006	8.221000
-30.440674	8.244000
-26.981506	8.268000
-29.748840	8.291000
-26.981506	8.314000
-32.516174	8.337000
-24.906006	8.359000
-24.906006	8.383000
-24.906006	8.406000
-30.440674	8.430000
-20.755005	8.453000
-25.597839	8.476000
-26.289673	8.499000
-29.748840	8.522000
-24.214172	8.545000
-36.667175	8.567000
-34.591675	8.591000
-33.208008	8.614000
-31.824341	8.638000
-24.906006	8.661000
-30.440674	8.684000
-29.748840	8.707000
-25.597839	8.730000
-30.440674	8.753000
-29.057007	8.775000
-29.748840	8.799000
-22.138672	8.822000
-30.440674	8.846000
-32.516174	8.869000
-29.748840	8.893000
-30.440674	8.916000
-26.981506	8.939000
-25.597839	8.962000
-42.201843	8.984000
-33.208008	9.008000
-31.824341	9.031000
-23.522339	9.055000
-17.295837	9.078000
-27.673340	9.101000
-28.365173	9.124000
-33.899841	9.147000
-21.446838	9.170000
-29.057007	9.192000
-30.440674	9.216000
-33.208008	9.239000
-31.824341	9.263000
-31.132507	9.286000
-44.277344	9.309000
-33.208008	9.332000
-29.057007	9.355000
-29.057007	9.378000
-29.057007	9.400000
-32.516174	9.424000
-43.585510	9.447000
-23.522339	9.471000
-34.591675	9.494000
-26.981506	9.518000
-35.283508	9.541000
-24.214172	9.564000
-31.824341	9.587000
-29.748840	9.609000
-18.679504	9.633000
-26.981506	9.656000
-29.057007	9.680000
-35.283508	9.703000
-29.057007	9.726000
-30.440674	9.749000
-27.673340	9.772000
-17.295837	9.795000
-29.057007	9.817000
-28.365173	9.841000
-25.597839	9.864000
-34.591675	9.888000
-24.214172	9.911000
-29.748840	9.934000
-35.283508	9.957000
-29.748840	9.980000
-29.057007	10.003000
-33.208008	10.025000
-29.748840	10.049000
-20.755005	10.072000
-29.748840	10.096000
-24.214172	10.119000
-33.899841	10.143000
-33.899841	10.166000
-31.824341	10.189000
-29.057007	10.212000
-38.050842	10.234000
-17.987671	10.258000
-33.899841	10.281000
-29.748840	10.305000
-29.057007	10.328000
-29.057007	10.351000
-31.824341	10.374000
-30.440674	10.397000
-20.063171	10.420000
-25.597839	10.442000
-27.673340	10.466000
-27.673340	10.489000
-40.126343	10.513000
-26.289673	10.536000
-35.975342	10.559000
-29.057007	10.582000
-34.591675	10.605000
-42.893677	10.628000
-34.591675	10.650000
-22.138672	10.674000
-37.359009	10.697000
-32.516174	10.721000
-31.132507	10.744000
-27.673340	10.768000
-33.208008	10.791000
-28.365173	10.814000
-34.591675	10.837000
-28.365173	10.859000
-33.208008	10.883000
-31.824341	10.906000
-27.673340	10.930000
-27.673340	10.953000
-29.748840	10.976000
-28.365173	10.999000
-31.824341	11.022000
-27.673340	11.045000
-38.050842	11.067000
-22.138672	11.091000
-29.057007	11.114000
-23.522339	11.137000
-28.365173	11.160000
-31.824341	11.184000
-30.440674	11.207000
-31.132507	11.230000
-28.365173	11.253000
-33.899841	11.275000
-28.365173	11.299000
-30.440674	11.322000
-26.289673	11.346000
-25.597839	11.369000
-27.673340	11.393000
-31.824341	11.416000
-24.214172	11.439000
-34.591675	11.462000
-29.748840	11.484000
-27.673340	11.508000
-29.748840	11.531000
-34.591675	11.555000
-26.289673	11.578000
-33.208008	11.601000
-26.289673	11.624000
-33.208008	11.647000
-25.597839	11.670000
-26.981506	11.692000
-24.906006	11.716000
-28.365173	11.739000
-27.673340	11.763000
-29.057007	11.786000
-31.824341	11.809000
-27.673340	11.832000
-33.208008	11.855000
-27.673340	11.878000
-26.289673	11.900000
-29.748840	11.924000
-31.132507	11.947000
-25.597839	11.971000
-27.673340	11.994000
-22.138672	12.018000
-22.138672	12.041000
-29.057007	12.064000
-31.132507	12.087000
-28.365173	12.109000
-26.289673	12.133000
-27.673340	12.156000
-34.591675	12.180000
-35.283508	12.203000
-29.057007	12.226000
