Load	Time	
-26.981506	0.000000
-44.277344	0.022000
-24.906006	0.046000
-26.289673	0.069000
-31.824341	0.093000
-28.365173	0.116000
-20.063171	0.140000
-28.365173	0.163000
-26.981506	0.186000
-31.824341	0.209000
-28.365173	0.231000
-41.510010	0.255000
-45.661011	0.278000
-31.132507	0.302000
-22.830505	0.325000
-29.057007	0.348000
-28.365173	0.371000
-23.522339	0.394000
-30.440674	0.417000
-22.138672	0.439000
-28.365173	0.463000
-24.214172	0.486000
-19.371338	0.510000
-35.283508	0.533000
-35.283508	0.557000
-29.057007	0.580000
-26.289673	0.603000
-21.446838	0.626000
-26.289673	0.648000
-22.138672	0.672000
-33.899841	0.695000
-30.440674	0.719000
-28.365173	0.742000
-27.673340	0.765000
-22.830505	0.788000
-28.365173	0.811000
-27.673340	0.834000
-43.585510	0.856000
-39.434509	0.880000
-29.057007	0.903000
-38.050842	0.927000
-30.440674	0.950000
-26.981506	0.973000
-30.440674	0.996000
-29.748840	1.019000
-33.899841	1.042000
-24.214172	1.064000
-33.899841	1.088000
-31.824341	1.111000
-28.365173	1.135000
-25.597839	1.158000
-38.050842	1.182000
-35.283508	1.205000
-25.597839	1.228000
-22.138672	1.251000
-36.667175	1.273000
-34.591675	1.297000
-29.057007	1.320000
-29.748840	1.344000
-34.591675	1.367000
-28.365173	1.390000
-27.673340	1.413000
-29.748840	1.436000
-29.748840	1.459000
-20.755005	1.481000
-31.824341	1.505000
-29.748840	1.528000
-34.591675	1.552000
-27.673340	1.575000
-29.057007	1.598000
-34.591675	1.621000
-25.597839	1.644000
-31.824341	1.667000
-21.446838	1.689000
-28.365173	1.713000
-38.742676	1.736000
-30.440674	1.760000
-31.132507	1.783000
-38.742676	1.807000
-33.899841	1.830000
-27.673340	1.853000
-27.673340	1.876000
-20.755005	1.898000
-32.516174	1.922000
-31.824341	1.945000
-23.522339	1.969000
-24.906006	1.992000
-24.214172	2.015000
-17.987671	2.038000
-29.748840	2.061000
-26.289673	2.084000
-13.836670	2.106000
-40.818176	2.130000
-20.755005	2.153000
-22.830505	2.177000
-31.824341	2.200000
-17.295837	2.223000
-24.906006	2.246000
-27.673340	2.269000
-42.201843	2.292000
-25.597839	2.314000
-41.510010	2.338000
-33.899841	2.361000
-31.824341	2.385000
-34.591675	2.408000
-33.208008	2.432000
-25.597839	2.455000
-25.597839	2.478000
-31.132507	2.501000
-34.591675	2.523000
-31.824341	2.547000
-31.132507	2.570000
-29.057007	2.594000
-31.132507	2.617000
-31.132507	2.640000
-24.214172	2.663000
-28.365173	2.686000
-27.673340	2.709000
-24.906006	2.731000
-39.434509	2.755000
-30.440674	2.778000
-31.132507	2.802000
-29.057007	2.825000
-23.522339	2.848000
-27.673340	2.871000
-24.906006	2.894000
-24.906006	2.917000
-23.522339	2.939000
-25.597839	2.963000
-29.748840	2.986000
-28.365173	3.010000
-32.516174	3.033000
-13.836670	3.057000
-26.981506	3.080000
-36.667175	3.103000
-29.748840	3.126000
-27.673340	3.148000
-11.761169	3.172000
-26.981506	3.195000
-21.446838	3.219000
-29.748840	3.242000
-26.289673	3.265000
-22.138672	3.288000
-13.836670	3.311000
-28.365173	3.334000
-42.201843	3.356000
-20.755005	3.380000
-22.830505	3.403000
-30.440674	3.427000
-31.132507	3.450000
-28.365173	3.473000
-29.748840	3.496000
-27.673340	3.519000
-30.440674	3.542000
-30.440674	3.564000
-23.522339	3.588000
-15.912170	3.611000
-28.365173	3.635000
-34.591675	3.658000
-23.522339	3.682000
-39.434509	3.705000
-22.830505	3.728000
-28.365173	3.751000
-23.522339	3.773000
-32.516174	3.797000
-28.365173	3.820000
-31.132507	3.844000
-34.591675	3.867000
-19.371338	3.890000
-35.975342	3.913000
-28.365173	3.936000
-26.981506	3.959000
-26.289673	3.981000
-26.981506	4.005000
-23.522339	4.028000
-26.981506	4.052000
-34.591675	4.075000
-24.906006	4.098000
-26.981506	4.121000
-28.365173	4.144000
-40.818176	4.167000
-37.359009	4.189000
-29.748840	4.213000
-31.132507	4.236000
-24.906006	4.260000
-23.522339	4.283000
-26.289673	4.307000
-29.057007	4.330000
-38.050842	4.353000
-24.214172	4.376000
-42.893677	4.398000
-29.057007	4.422000
-31.824341	4.445000
-27.673340	4.469000
-28.365173	4.492000
-35.975342	4.515000
-31.824341	4.538000
-23.522339	4.561000
-29.057007	4.584000
-24.906006	4.606000
-25.597839	4.630000
-38.050842	4.653000
