Time	Load
0.000	0.00
0.000	17.700
0.024	5.493
0.067	8.545
0.072	15.869
0.078	26.245
0.100	19.531
0.137	23.193
0.176	18.921
0.209	17.700
0.215	21.362
0.238	21.973
0.270	17.700
0.301	26.855
0.334	12.207
0.367	20.142
0.397	21.362
0.401	20.142
0.409	20.752
0.440	20.752
0.444	19.531
0.448	21.973
0.471	23.193
0.504	7.935
0.534	17.700
0.567	20.142
0.601	17.700
0.606	17.700
0.630	17.700
0.671	17.090
0.675	17.700
0.683	11.597
0.725	12.817
0.757	16.479
0.785	10.986
0.789	16.479
0.814	14.038
0.846	14.038
0.879	12.817
0.912	12.817
0.940	19.531
0.974	18.921
1.005	12.817
1.009	11.597
1.034	12.207
1.066	17.700
1.100	7.935
1.129	14.038
1.158	-1.831
1.191	12.817
1.196	15.259
1.205	12.207
1.244	12.817
1.273	10.376
1.277	10.376
1.281	10.376
1.306	12.817
1.339	-0.610
1.379	10.986
1.384	13.428
1.422	0.610
1.426	6.714
1.434	15.869
1.469	6.714
1.498	6.714
1.539	10.376
1.545	11.597
1.569	12.817
1.608	9.766
1.648	6.104
1.673	17.090
1.677	10.986
1.685	17.700
1.726	7.935
1.757	6.714
1.761	8.545
1.769	9.155
1.817	10.376
1.851	10.986
1.877	11.597
1.910	10.376
1.942	9.766
1.973	9.155
1.978	9.155
2.001	10.376
2.046	8.545
2.077	10.376
2.108	9.155
2.112	9.155
2.117	8.545
2.143	8.545
2.176	8.545
2.181	17.700
2.225	8.545
2.255	-1.831
2.285	9.155
2.289	8.545
2.297	10.376
2.332	10.376
2.368	9.155
2.413	6.714
2.443	3.662
2.448	7.935
2.454	0.610
2.479	10.376
2.505	7.935
2.536	9.766
2.570	4.883
2.604	19.531
2.608	9.155
2.616	16.479
2.646	10.986
2.649	9.155
2.655	7.935
2.677	13.428
2.710	14.648
2.742	3.662
2.776	9.155
2.781	3.662
2.789	6.104
2.818	7.324
2.822	6.714
2.830	6.714
2.857	7.324
2.890	8.545
2.895	9.155
2.902	6.714
2.950	7.935
2.995	4.883
3.022	12.207
3.026	9.155
3.031	10.376
3.054	4.883
3.084	7.935
3.113	9.155
3.145	9.155
3.178	9.766
3.183	7.935
3.203	5.493
3.251	9.155
3.280	7.935
3.311	7.935
3.353	12.207
3.357	-1.831
3.362	5.493
3.395	8.545
3.399	9.766
3.403	7.324
3.429	8.545
3.457	6.714
3.490	5.493
3.523	6.714
3.557	13.428
3.591	7.324
3.595	3.662
3.619	6.714
3.658	7.935
3.689	4.883
3.719	9.155
3.723	5.493
3.731	6.714
3.771	5.493
3.800	9.766
3.804	7.935
3.827	7.935
3.870	12.817
3.897	7.935
3.927	9.155
3.958	15.869
3.988	6.104
3.993	7.935
4.018	7.324
4.061	9.766
4.096	9.155
4.100	6.714
4.107	8.545
4.148	9.155
4.172	9.766
4.177	6.104
4.184	6.714
4.244	14.648
4.274	6.104
4.309	6.714
4.354	-2.441
4.381	7.324
4.386	7.935
4.415	10.376
4.473	14.038
4.478	7.324
4.501	7.324
4.533	5.493
4.567	7.935
4.601	6.104
4.606	12.817
4.612	9.766
4.640	2.441
4.674	9.766
4.678	6.714
4.686	9.155
4.726	10.376
4.752	9.155
4.757	5.493
4.780	9.766
4.827	-1.221
4.832	8.545
4.840	9.155
4.880	9.155
4.910	3.662
4.914	4.883
4.922	7.324
4.959	6.104
5.003	7.324
5.035	6.714
5.040	4.883
5.062	7.324
5.073	7.935
5.107	7.324
5.146	4.272
5.174	8.545
5.179	7.935
5.186	6.104
5.247	6.714
5.291	-1.831
5.316	7.935
5.347	4.272
5.378	5.493
5.383	8.545
5.407	18.311
5.451	6.714
5.482	7.935
5.486	7.935
5.490	4.272
5.515	6.714
5.560	3.662
5.605	9.155
5.609	7.324
5.617	10.986
5.647	3.662
5.651	9.766
5.655	9.155
5.679	4.883
5.712	10.376
5.742	-3.052
5.773	8.545
5.777	4.883
5.785	1.831
5.825	3.662
5.860	7.935
5.864	3.052
5.872	9.155
5.913	15.259
5.917	4.883
5.925	5.493
5.958	9.155
5.962	6.104
5.985	5.493
6.029	9.155
6.063	4.272
6.067	5.493
6.072	7.324
6.096	8.545
6.130	5.493
6.160	7.324
6.193	3.662
6.198	6.714
6.211	3.662
6.241	3.662
6.276	9.155
